,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,renovation,lat,long,yr_built
31,280000.0,2,1.5,1190,1265,3.0,No,No,3,7,No,47.7274,-122.35700000000001,2005
32,687500.0,4,1.75,2330,5000,1.5,No,No,4,7,No,47.6823,-122.368,1929
33,535000.0,3,1.0,1090,3000,1.5,No,No,4,8,No,47.6889,-122.375,1929
34,322500.0,4,2.75,2060,6659,1.0,No,No,3,7,No,47.4276,-122.15700000000001,1981
35,696000.0,3,2.5,2300,3060,1.5,No,No,3,8,Yes,47.6827,-122.31,1930
36,550000.0,4,1.0,1660,34848,1.0,No,No,1,5,No,47.6621,-122.132,1933
37,640000.0,4,2.0,2360,6000,2.0,No,No,4,8,No,47.6702,-122.36200000000001,1904
38,240000.0,4,1.0,1220,8075,1.0,No,No,2,7,No,47.3341,-122.28200000000001,1969
39,605000.0,4,2.5,2620,7553,2.0,No,No,3,8,No,47.5301,-122.18,1996
40,625000.0,4,2.5,2570,5520,2.0,No,No,3,9,No,47.6145,-122.027,2000
41,775000.0,4,2.25,4220,24186,1.0,No,No,3,8,No,47.445,-122.34700000000001,1984
42,861990.0,5,2.75,3595,5639,2.0,No,No,3,9,No,47.6848,-122.016,2014
43,685000.0,3,1.0,1570,2280,2.0,No,No,3,7,No,47.6413,-122.36399999999999,1922
44,309000.0,3,1.0,1280,9656,1.0,No,No,4,6,No,47.4485,-122.175,1959
45,488000.0,3,2.5,3160,13603,2.0,No,No,3,8,No,47.7443,-121.977,2003
46,210490.0,3,1.0,990,8528,1.0,No,No,3,6,No,47.3066,-122.37100000000001,1966
47,785000.0,4,2.5,2290,13416,2.0,No,No,4,9,No,47.6194,-122.15100000000001,1981
48,450000.0,3,1.75,1250,5963,1.0,No,No,4,7,No,47.6796,-122.301,1953
49,1350000.0,3,2.5,2753,65005,1.0,Yes,Yes,5,9,No,47.4041,-122.45100000000001,1953
50,228000.0,3,1.0,1190,9199,1.0,No,No,3,7,No,47.4258,-122.322,1955
51,345000.0,5,2.5,3150,9134,1.0,No,No,4,8,No,47.4934,-122.189,1966
52,600000.0,3,1.75,1410,4080,1.0,No,No,4,7,No,47.6808,-122.384,1950
53,585000.0,2,1.75,1980,8550,1.0,No,No,3,7,No,47.6989,-122.369,1981
54,920000.0,5,2.25,2730,6000,1.5,No,No,3,8,No,47.6571,-122.281,1927
55,885000.0,4,2.5,2830,5000,2.0,No,No,3,9,No,47.6597,-122.29,1995
56,292500.0,4,2.5,2250,4495,2.0,No,No,3,7,No,47.3663,-122.11399999999999,2008
57,301000.0,3,2.5,2420,4750,2.0,No,No,3,8,No,47.3663,-122.12200000000001,2003
58,951000.0,5,3.25,3250,14342,2.0,No,Yes,4,8,No,47.588,-122.116,1968
59,430000.0,4,3.0,1850,9976,2.0,No,No,3,8,No,47.5059,-122.149,1991
60,650000.0,3,2.25,2150,21235,1.0,No,Yes,4,8,No,47.4336,-122.339,1959
61,289000.0,3,1.75,1260,8400,1.0,No,No,3,7,No,47.4366,-122.335,1954
62,505000.0,3,1.75,2519,8690,2.0,No,No,5,8,No,47.4428,-122.344,1973
63,549000.0,3,1.75,1540,1044,3.0,No,No,3,8,No,47.6765,-122.32,2014
64,425000.0,3,2.25,1660,6000,1.0,No,No,3,7,No,47.6113,-122.29700000000001,1979
65,317625.0,3,2.75,2770,3809,1.5,No,No,5,7,No,47.5747,-122.304,1925
66,975000.0,4,2.5,2720,11049,2.0,No,No,3,10,No,47.5815,-122.19200000000001,1989
67,287000.0,4,2.5,2240,4648,2.0,No,No,3,7,No,47.3378,-122.257,2005
68,204000.0,3,1.0,1000,12070,1.0,No,No,4,7,No,47.3621,-122.11,1968
69,1325000.0,5,2.25,3200,20158,1.0,No,No,3,8,No,47.6303,-122.215,1965
70,1040000.0,5,3.25,4770,50094,1.0,No,No,4,11,No,47.6525,-122.16,1973
71,325000.0,3,2.0,1260,5612,1.0,No,No,4,7,No,47.7362,-122.179,1972
72,571000.0,4,2.0,2750,7807,1.5,No,No,5,7,No,47.7168,-122.287,1916
73,360000.0,4,2.5,2380,5000,2.0,No,No,3,8,No,47.3608,-122.036,2005
74,349000.0,3,1.75,1790,50529,1.0,No,No,5,7,No,47.3511,-122.073,1965
75,832500.0,4,4.0,3430,35102,2.0,No,No,4,10,No,47.5822,-121.98700000000001,1986
76,380000.0,4,1.75,1760,7300,1.0,No,No,3,7,No,47.6034,-122.125,1956
77,480000.0,3,1.0,1040,5060,1.0,No,No,3,7,No,47.5636,-122.39399999999999,1941
78,410000.0,3,1.0,1410,5060,1.0,No,No,4,7,No,47.7073,-122.34,1956
79,720000.0,4,2.5,3450,39683,2.0,No,No,3,10,No,47.342,-122.025,2002
80,390000.0,3,2.5,2350,5100,2.0,No,No,3,8,No,47.3512,-122.008,2003
81,360000.0,4,2.5,1900,5889,2.0,No,No,3,7,No,47.349,-122.031,1992
82,355000.0,2,1.0,2020,6720,1.0,No,No,3,7,No,47.5474,-122.291,1948
83,356000.0,3,1.5,1680,8712,1.0,No,No,3,8,No,47.4811,-122.149,1964
84,315000.0,3,1.0,960,6634,1.0,No,No,3,6,No,47.7264,-122.31,1952
85,940000.0,3,1.5,2140,3600,2.0,No,No,3,9,No,47.6337,-122.365,1925
86,305000.0,5,2.25,2660,8400,1.5,No,No,5,7,No,47.2909,-122.189,1961
87,461000.0,3,3.25,2770,6278,2.0,No,No,3,9,No,47.5228,-122.199,2006
88,215000.0,2,2.25,1610,2040,2.0,No,No,4,7,No,47.518,-122.194,1979
89,335000.0,2,1.75,1030,1066,2.0,No,No,3,7,No,47.5394,-122.387,2006
90,243500.0,4,2.5,1980,7403,2.0,No,No,3,7,No,47.2897,-122.37200000000001,1988
91,1099880.0,5,2.75,3520,6353,2.0,No,No,4,10,No,47.6506,-122.391,2001
92,153000.0,3,1.0,1200,10500,1.0,No,No,3,7,No,47.321999999999996,-122.351,1962
93,430000.0,3,1.5,1580,5000,1.0,No,No,3,8,No,47.687,-122.38600000000001,1939
94,700000.0,3,1.5,1580,5000,1.0,No,No,3,8,No,47.687,-122.38600000000001,1939
95,905000.0,4,2.5,3300,10250,1.0,No,No,3,7,Yes,47.5873,-122.249,1946
96,247500.0,3,1.75,1960,15681,1.0,No,No,3,7,No,47.3576,-122.277,1967
97,199000.0,4,1.5,1160,6400,1.0,No,No,4,7,No,47.3036,-122.37799999999999,1975
98,314000.0,3,1.75,1810,41800,1.0,No,No,5,7,No,47.4109,-121.958,1980
99,437500.0,3,2.5,2320,36847,2.0,No,Yes,3,9,No,47.4838,-121.714,1992
100,850830.0,3,2.5,2070,13241,1.5,No,No,5,9,No,47.6415,-122.315,1910
101,555000.0,3,2.0,1980,3478,1.5,No,No,4,7,No,47.6775,-122.37200000000001,1929
102,699950.0,3,2.25,2190,107593,2.0,No,No,4,8,No,47.7731,-122.08,1983
103,1088000.0,3,2.5,2920,8113,2.0,No,No,3,8,Yes,47.5814,-122.196,1950
104,290000.0,3,1.0,1210,33919,1.0,No,No,3,7,No,47.4375,-122.184,1954
105,375000.0,3,2.5,2340,10005,1.0,No,No,4,8,No,47.4431,-122.133,1978
106,460000.0,3,1.0,1670,4005,1.5,No,No,4,7,No,47.6878,-122.38,1939
107,188500.0,2,1.75,1240,2493,1.0,No,No,4,8,No,47.3813,-122.322,1985
108,680000.0,4,2.5,3140,28037,2.0,No,No,4,10,No,47.7304,-122.08200000000001,1991
109,470000.0,5,1.75,2030,12342,2.0,No,No,4,7,No,47.6417,-122.109,1942
110,597750.0,4,2.5,2310,9624,2.0,No,No,3,8,No,47.5386,-122.053,1984
111,570000.0,3,1.75,1260,3328,1.0,No,No,5,6,No,47.6823,-122.34899999999999,1905
112,272500.0,3,1.75,1540,12600,1.0,No,No,4,7,No,47.3624,-122.031,1980
113,329950.0,3,1.75,2080,5969,1.0,No,Yes,3,7,No,47.5474,-122.295,1971
114,480000.0,4,2.5,3230,16171,2.0,No,Yes,3,9,No,47.3183,-122.25299999999999,2001
115,740500.0,3,3.5,4380,6350,2.0,No,No,3,8,Yes,47.6981,-122.368,1900
116,518500.0,3,3.5,1590,1102,3.0,No,No,3,8,No,47.6824,-122.34700000000001,2010
117,205425.0,2,1.0,880,6780,1.0,No,No,4,6,No,47.5009,-122.24799999999999,1945
118,171800.0,4,2.0,1570,9600,1.0,No,No,3,6,No,47.4965,-122.303,1950
119,535000.0,4,1.0,1610,2982,1.5,No,No,4,7,No,47.586999999999996,-122.294,1925
120,660000.0,3,2.5,2400,6474,1.0,No,Yes,3,8,No,47.7728,-122.38600000000001,1964
121,391500.0,3,2.0,1450,9132,1.0,No,No,3,7,No,47.7288,-122.226,1987
122,395000.0,2,1.0,770,6000,1.0,No,No,3,6,No,47.6999,-122.36399999999999,1953
123,445000.0,4,1.75,2100,4400,1.5,No,No,5,7,No,47.5299,-122.266,1924
124,770000.0,3,2.25,2910,10204,2.0,No,No,3,9,No,47.6897,-122.098,1990
125,1450000.0,4,2.75,2750,17789,1.5,No,No,3,8,Yes,47.6141,-122.212,1914
126,445000.0,3,2.25,2100,8201,1.0,No,Yes,3,8,No,47.5091,-122.244,1967
127,260000.0,4,2.25,2160,8811,1.0,No,No,3,8,No,47.3129,-122.39,1978
128,822500.0,5,3.5,2320,4960,2.0,No,No,5,7,No,47.6763,-122.352,1926
129,430000.0,4,2.5,2070,4310,2.0,No,No,3,7,No,47.5319,-121.85,2004
130,212000.0,3,1.75,1060,7875,1.0,No,No,4,7,No,47.2761,-122.152,1986
131,660500.0,4,2.25,2010,9603,1.0,No,No,3,8,No,47.5343,-122.054,1986
132,784000.0,3,3.5,3950,111078,1.5,No,No,3,9,No,47.696999999999996,-122.072,1989
133,453246.0,3,2.5,2010,2287,2.0,No,No,3,8,No,47.5517,-121.99799999999999,2014
134,675000.0,4,3.5,2140,2278,3.0,No,No,3,9,No,47.6734,-122.38,2005
135,199000.0,3,1.75,1320,17390,1.0,No,No,4,7,No,47.3257,-122.296,1956
136,220000.0,4,1.75,2020,7840,1.0,No,No,3,7,No,47.3309,-122.29899999999999,1968
137,452000.0,4,2.25,2590,10002,1.0,No,No,4,8,No,47.7689,-122.266,1968
138,382500.0,2,1.0,1190,4440,1.0,No,No,3,6,No,47.7135,-122.287,1981
139,519950.0,3,2.25,1170,1249,3.0,No,No,3,8,No,47.6722,-122.381,2014
140,665000.0,2,1.0,1110,3200,1.0,No,No,3,7,No,47.6338,-122.35799999999999,1925
141,527700.0,5,2.5,2820,9375,1.0,No,No,4,8,No,47.5707,-122.12799999999999,1968
142,205000.0,3,1.0,1610,8579,1.0,No,No,4,7,No,47.4563,-122.171,1962
143,420000.0,3,1.0,1060,8097,1.0,No,No,4,7,No,47.7144,-122.351,1923
144,500000.0,4,2.25,2030,8517,1.0,No,No,4,8,No,47.5495,-122.17399999999999,1961
145,921500.0,4,2.5,3670,315374,2.0,No,No,4,9,No,47.7421,-122.02600000000001,1994
146,890000.0,4,1.0,2550,4000,2.0,No,No,3,8,No,47.6354,-122.353,1905
147,430000.0,2,2.5,2420,60984,2.0,No,No,3,7,No,47.5262,-121.943,2007
148,258000.0,5,2.0,2260,12500,1.0,No,No,4,8,No,47.3887,-122.286,1960
149,511000.0,3,1.0,1430,3455,1.0,No,No,3,7,No,47.6873,-122.336,1947
150,532170.0,3,2.0,1360,3090,2.0,No,No,3,8,No,47.6838,-122.353,1990
151,560000.0,3,1.0,1110,5000,1.5,No,No,3,7,No,47.655,-122.359,1947
152,282950.0,3,1.0,1250,8200,1.0,No,No,4,7,No,47.3255,-122.304,1954
153,2250000.0,4,3.25,5180,19850,2.0,No,Yes,3,12,No,47.562,-122.162,2006
154,350000.0,1,1.0,700,5100,1.0,No,No,3,7,No,47.678999999999995,-122.3,1942
155,215000.0,3,1.0,1180,7669,1.0,No,No,4,7,No,47.4479,-122.176,1967
156,650000.0,5,3.5,3960,25245,2.0,No,No,3,9,No,47.525,-122.17200000000001,1996
157,320000.0,4,2.75,2640,7500,1.0,No,No,3,8,No,47.3135,-122.369,1967
158,247000.0,3,2.0,1270,7198,1.5,No,No,3,7,Yes,47.2086,-121.99600000000001,1916
159,320000.0,4,1.75,1760,11180,1.0,No,No,4,8,No,47.4715,-122.118,1968
160,255000.0,5,2.25,2060,8632,1.0,No,No,3,7,No,47.4877,-122.335,1962
161,438000.0,3,1.75,1780,9660,1.0,No,No,3,7,No,47.7171,-122.193,1962
162,900000.0,3,2.5,3400,16603,2.0,No,No,3,10,No,47.6012,-122.023,2000
163,441000.0,3,2.75,1910,7280,1.0,No,No,3,7,No,47.7319,-122.22399999999999,1979
164,420000.0,3,2.0,2020,38332,1.0,No,No,4,7,No,47.4582,-122.023,1975
165,370000.0,3,1.75,1580,7000,1.0,No,No,3,7,No,47.7209,-122.16799999999999,1976
166,269950.0,2,1.75,1340,7250,1.0,No,No,5,5,No,47.408,-122.32700000000001,1949
167,807100.0,4,2.5,2680,4499,2.0,No,No,3,9,No,47.565,-122.125,1999
168,653000.0,3,2.5,2680,9750,1.0,No,No,4,8,No,47.7028,-122.23100000000001,1979
169,371500.0,3,2.0,1370,8336,1.0,No,No,5,7,No,47.7458,-122.331,1964
170,284000.0,3,1.75,1560,21000,1.0,No,No,3,7,No,47.4776,-122.337,1954
171,272000.0,3,1.75,2160,7140,1.0,No,No,4,7,No,47.3026,-122.374,1978
172,313000.0,3,1.5,1340,7912,1.5,No,No,3,7,No,47.7658,-122.339,1955
173,917500.0,4,2.5,3880,35003,2.0,No,No,3,10,No,47.6477,-122.182,1984
174,673000.0,4,2.25,2590,8190,2.0,No,No,4,8,No,47.5619,-122.125,1980
175,425000.0,3,2.5,1120,1100,2.0,No,No,3,8,No,47.6106,-122.31,2008
176,399950.0,5,2.75,1970,5400,1.0,No,No,3,7,No,47.5868,-122.30799999999999,1986
177,385000.0,3,1.0,1220,4800,1.0,No,No,3,6,No,47.6101,-122.307,1901
178,269950.0,3,1.5,1950,7560,1.0,No,Yes,4,7,No,47.1976,-121.999,1975
179,330000.0,2,1.0,1350,8220,1.0,No,No,3,7,No,47.7224,-122.35799999999999,1949
180,260000.0,3,2.5,1670,5797,2.0,No,No,3,7,No,47.3505,-122.179,1988
181,470000.0,4,3.0,2380,5125,1.5,No,No,4,7,No,47.5384,-122.376,1925
182,589000.0,4,3.0,2440,9600,2.0,No,No,5,7,No,47.7044,-122.2,1961
183,163500.0,2,1.5,1050,3419,2.0,No,No,3,7,No,47.3848,-122.039,1996
184,835000.0,4,2.75,3130,13412,2.0,No,No,3,9,No,47.6993,-122.102,1993
185,1095000.0,5,3.0,4090,12850,1.0,No,Yes,4,10,No,47.6627,-122.18799999999999,1986
186,269000.0,4,1.75,1490,10000,1.0,No,No,4,8,No,47.3099,-122.37899999999999,1969
187,560000.0,3,2.5,1900,8744,2.0,No,No,3,8,No,47.62,-122.04299999999999,1987
188,615000.0,4,1.0,1330,2400,1.5,No,No,4,6,No,47.65,-122.34,1901
189,585188.0,3,2.25,2230,10026,1.0,No,No,3,8,No,47.6647,-122.15299999999999,1975
190,305000.0,3,1.75,1650,9480,1.0,No,No,3,7,No,47.726000000000006,-122.191,1977
191,166950.0,3,1.0,1190,8820,1.0,No,No,3,6,No,47.4616,-122.184,1959
192,799000.0,3,2.5,2140,9897,1.0,No,No,4,8,No,47.5505,-122.219,1959
193,400000.0,3,2.5,2180,7508,1.0,No,No,4,7,No,47.7606,-122.336,1962
194,230000.0,3,1.0,1060,10228,1.0,No,No,3,7,No,47.7481,-122.3,1948
195,256883.0,3,2.5,1690,5025,2.0,No,No,3,8,No,47.2779,-122.34700000000001,2003
196,423000.0,4,2.0,1970,6480,1.5,No,No,5,7,No,47.5511,-122.31200000000001,1920
197,465000.0,3,2.5,2150,4084,2.0,No,No,3,8,No,47.5488,-122.37200000000001,2007
198,440000.0,3,2.5,1910,66211,2.0,No,No,3,7,No,47.5385,-121.911,1997
199,385000.0,3,1.75,1350,155073,1.0,No,No,4,7,No,47.4058,-121.994,1969
200,210000.0,3,1.0,860,11725,1.0,No,No,4,6,No,47.5093,-122.184,1943
201,297000.0,3,2.5,1940,14952,2.0,No,No,3,8,No,47.3777,-122.165,1994
202,470000.0,3,1.0,1010,5000,1.0,No,No,3,7,No,47.675,-122.39399999999999,1952
203,226500.0,3,1.5,1300,7370,1.0,No,No,4,7,No,47.3025,-122.37,1976
204,274250.0,3,1.0,910,8450,1.0,No,No,4,6,No,47.4787,-122.15799999999999,1962
205,840000.0,4,1.75,2480,11010,1.0,No,No,4,9,No,47.5378,-122.219,1966
206,677900.0,3,2.5,2440,4587,2.0,No,No,3,8,No,47.7073,-122.11399999999999,2010
207,425000.0,3,1.0,1010,5864,1.0,No,No,3,7,No,47.5733,-122.381,1915
208,180250.0,2,0.75,900,9600,1.0,No,No,3,6,No,47.4604,-122.339,1941
209,464000.0,6,3.0,2300,3404,2.0,No,No,3,7,Yes,47.7067,-122.34299999999999,1920
210,320000.0,4,2.25,1550,7579,2.0,No,No,3,8,No,47.354,-122.04700000000001,1993
211,625504.0,3,2.25,1270,1566,2.0,No,No,3,8,No,47.6647,-122.28399999999999,2014
212,592500.0,4,2.5,2240,12032,1.0,No,No,3,9,No,47.6143,-122.01700000000001,1983
213,465000.0,3,2.5,2714,17936,2.0,No,No,3,9,No,47.3185,-122.275,2005
214,477000.0,4,2.75,1720,6270,2.0,No,No,3,8,No,47.5458,-122.26799999999999,1978
215,280000.0,2,1.0,850,16400,1.0,No,No,3,6,No,47.4889,-122.29899999999999,1923
216,1505000.0,5,3.0,3300,33474,1.0,No,Yes,3,9,Yes,47.5673,-122.21,1957
217,445838.0,3,2.5,2250,5692,2.0,No,No,3,8,No,47.5133,-122.37899999999999,2000
218,1072000.0,2,2.25,3900,14864,1.0,No,Yes,3,8,No,47.5884,-122.291,1947
219,467000.0,2,1.5,1320,10800,1.0,No,No,4,8,No,47.7145,-122.367,1947
220,686000.0,4,2.5,2760,6440,2.0,No,No,3,10,No,47.5836,-122.02600000000001,1999
221,279950.0,3,2.0,1750,9750,1.0,No,No,3,7,No,47.398,-122.29899999999999,1961
222,527000.0,4,2.25,2330,19436,2.0,No,No,3,8,No,47.7663,-122.215,1987
223,325000.0,3,2.25,2220,16020,1.0,No,No,4,8,No,47.3758,-122.21700000000001,1966
224,328000.0,3,2.25,2020,8379,2.0,No,No,3,7,No,47.3828,-122.023,1994
225,390000.0,3,2.25,1250,7500,1.0,No,No,5,7,No,47.5123,-122.37299999999999,1942
226,479950.0,2,2.0,1510,6516,1.0,No,No,3,8,No,47.7076,-122.01299999999999,2005
227,264950.0,4,2.25,1720,9753,1.0,No,No,4,7,No,47.2922,-122.37100000000001,1978
228,235000.0,3,1.0,1430,15246,1.0,No,No,4,7,No,47.4075,-122.214,1961
229,516500.0,3,2.5,1480,4729,2.0,No,No,3,7,No,47.6794,-122.03399999999999,2004
230,655000.0,2,1.75,1450,15798,2.0,Yes,Yes,3,7,Yes,47.4497,-122.375,1915
231,500000.0,4,2.75,2280,15347,1.0,No,No,5,7,No,47.5218,-122.164,1960
232,315000.0,6,2.75,2940,7350,1.0,No,No,3,8,No,47.3103,-122.339,1978
233,213000.0,2,1.0,1000,10200,1.0,No,No,3,6,No,47.5687,-121.899,1961
234,475000.0,3,1.5,2480,5280,1.5,No,No,5,7,No,47.5575,-122.303,1947
235,1025000.0,5,4.0,3760,28040,2.0,No,No,3,10,No,47.6489,-122.18299999999999,1983
236,416000.0,3,2.0,2220,94300,1.0,No,No,5,7,No,47.3459,-121.95,1976
237,410000.0,4,1.0,1970,4740,1.5,No,No,3,7,Yes,47.6136,-122.303,1904
238,800000.0,3,3.5,3830,221284,2.0,No,No,3,10,No,47.7641,-122.023,1993
239,472000.0,6,2.5,4410,14034,1.0,No,Yes,4,9,No,47.3376,-122.324,1965
240,225000.0,3,1.75,1430,8505,1.0,No,No,4,7,No,47.3173,-122.319,1968
241,210000.0,2,1.0,830,6000,1.0,No,No,3,6,No,47.5308,-122.376,1940
242,455000.0,2,1.0,1430,5000,1.5,No,No,2,7,No,47.6727,-122.29899999999999,1925
243,225000.0,3,1.0,1300,8316,1.0,No,No,4,6,No,47.3221,-122.21600000000001,1954
244,480000.0,2,1.0,1030,3060,1.0,No,Yes,4,7,No,47.6779,-122.353,1918
245,363000.0,3,2.5,2740,11872,2.0,No,No,3,9,No,47.3076,-122.395,1990
246,2400000.0,4,2.5,3650,8354,1.0,Yes,Yes,3,9,No,47.6338,-122.072,2000
247,181000.0,2,1.5,720,5120,1.0,No,No,3,6,No,47.5218,-122.35700000000001,1954
248,250000.0,4,2.0,2010,7312,1.0,No,No,4,7,No,47.2785,-122.213,1976
249,481000.0,3,1.75,1560,3000,1.0,No,No,4,6,No,47.6846,-122.345,1918
250,260000.0,3,2.0,1810,7209,1.0,No,No,4,7,No,47.3656,-122.27799999999999,1978
251,455000.0,4,2.5,3360,7685,2.0,No,No,3,9,No,47.4369,-122.111,2001
252,415000.0,3,2.25,1510,36224,2.0,No,No,3,8,No,47.4616,-121.711,1991
253,349500.0,3,1.0,1400,3538,1.0,No,No,3,7,No,47.5405,-122.27,1953
254,245000.0,3,2.5,1730,7442,2.0,No,No,3,7,No,47.3507,-122.178,1987
255,592500.0,2,2.0,1420,9191,1.5,No,Yes,5,7,No,47.6979,-122.32,1928
256,385000.0,4,1.75,2360,7620,1.0,No,No,4,7,No,47.5278,-122.345,1955
257,315000.0,3,1.75,1580,11455,1.0,No,No,4,7,No,47.4756,-122.147,1974
258,255000.0,3,1.0,1230,10170,1.0,No,No,3,7,No,47.4437,-121.772,1979
259,693000.0,4,2.5,2460,4425,2.0,No,No,3,8,No,47.7048,-122.109,2006
260,780000.0,3,1.0,1660,4400,1.5,No,No,3,8,No,47.6362,-122.302,1911
261,237000.0,3,1.75,1270,8470,1.0,No,No,4,7,No,47.4207,-122.29,1960
262,525000.0,3,2.25,2100,40510,2.0,No,No,3,10,No,47.6154,-122.04700000000001,1979
263,425000.0,2,1.0,770,5040,1.0,No,No,3,5,No,47.5964,-122.29899999999999,1930
264,369900.0,1,0.75,760,10079,1.0,Yes,Yes,5,5,No,47.4683,-122.43799999999999,1936
265,290000.0,4,2.5,1700,7280,2.0,No,No,4,7,No,47.4045,-122.171,1988
266,285000.0,3,1.0,1120,10701,1.0,No,No,3,7,No,47.5544,-122.35799999999999,1954
267,415000.0,2,1.0,1070,4500,1.0,No,No,3,7,No,47.6802,-122.29,1937
268,272500.0,3,2.5,2070,9900,1.0,No,No,3,8,No,47.2988,-122.37100000000001,1979
269,2900000.0,4,3.25,5050,20100,1.5,No,Yes,3,11,Yes,47.6312,-122.223,1982
270,1365000.0,4,4.75,5310,57346,2.0,No,No,4,11,No,47.7285,-122.042,1989
271,436000.0,2,1.0,1040,7538,1.0,No,No,4,7,No,47.7107,-122.352,1939
272,210000.0,3,1.0,1700,11390,1.0,No,No,4,7,No,47.3271,-122.323,1967
273,236000.0,3,1.0,1300,5898,1.0,No,No,3,7,No,47.5053,-122.255,1961
274,331000.0,3,1.75,1080,1306,1.0,No,No,3,7,Yes,47.6601,-122.4,1954
275,365000.0,3,2.5,2653,4510,2.0,No,No,3,8,No,47.4145,-122.166,2006
276,450000.0,3,2.0,2290,16258,1.0,No,No,5,8,No,47.4672,-122.165,1960
277,770000.0,4,2.75,3820,26300,2.0,No,No,3,9,No,47.7618,-122.26100000000001,2014
278,455000.0,4,2.5,2210,49375,1.0,No,No,3,8,No,47.3828,-122.071,1997
279,405000.0,3,1.75,2390,6000,1.0,No,No,3,6,No,47.5362,-122.26799999999999,1908
280,304900.0,4,1.75,2600,11325,1.0,No,No,4,7,No,47.3954,-122.206,1969
281,170000.0,2,1.0,860,5265,1.0,No,No,3,6,No,47.5048,-122.272,1931
282,2050000.0,5,3.0,3830,8480,2.0,No,Yes,5,9,Yes,47.6166,-122.287,1905
283,780000.0,4,2.5,3500,7048,2.0,No,No,3,9,No,47.6811,-122.025,2005
284,330000.0,3,3.0,2420,13959,1.0,No,No,4,8,No,47.7486,-122.23,1988
285,370000.0,4,2.5,2720,8666,2.0,No,No,3,9,No,47.3846,-122.169,1992
286,467000.0,5,2.25,2500,13500,1.0,No,No,3,7,No,47.7564,-122.14399999999999,1979
287,405000.0,3,1.75,1670,6720,1.0,No,No,3,7,No,47.7198,-122.193,1980
288,675000.0,5,2.25,2900,10300,1.0,No,No,3,8,No,47.5461,-122.15100000000001,1985
289,500000.0,2,1.0,1640,14100,1.0,No,No,4,7,No,47.5712,-122.14299999999999,1954
290,389999.0,4,2.5,1890,15770,2.0,No,No,4,7,No,47.4281,-122.34299999999999,1968
291,630000.0,4,1.75,2950,9025,1.0,No,Yes,4,8,No,47.7128,-122.223,1975
